# k			Nics		Nshss		Re(hk)	Im(hk)	TPS		Re(calG)		Im(calG)	k^6*Abs(calG)	G		k^6*G		h_NL
1e-05 			4.89048 	21.33096  168103.41041019 0  4.02515965707e-10 -18368019.22628502 -16264599.32739038  	0.77583589   2.70233565e+13   2.70233565e-17 -1.14151683
1e-06 			2.54198 	18.98232  5565665.67491732 0  4.41352846623e-10  -6.29822933e+08 -5.13122412e+08  	0.81238632   3.09211529e+19   3.09211529e-17 -1.08640827
3.16227766017e-05 	6.0648 		22.50528  29212.97777667 0 3.8439979112e-10 -3193361.12347535 	-2824930.72435405  	0.75817686   2.46319015e+10   2.46319015e-17 -1.14088246
3.16227766017e-06 	3.71616 	20.15664  967335.70975089 0 4.21485927945e-10  -1.05651699e+08 	-93643741.10206673  	0.7939063   2.96469539e+16   2.96469539e-17 -1.14215007
0.0001 			7.23912 	23.6796   5076.62556338 0 3.67098977509e-10 -555179.61923012 	-490650.17531142  	0.7409197  22452077.76301052   2.24520778e-17 -1.14024831
0.00316227766017 	10.76208	27.20256  26.6423816 0 3.1972997068e-10 -2917.35375904 		-2570.7702198  		0.69146978  0.01700319   1.70031890e-17 -1.13834247
0.000316227766017	8.41344 	24.85392  882.21499731 0  3.50576828043e-10 -96520.3448272	-85218.90190378  	0.72405542  20465.1401045   2.04651401e-17 -1.13961343
0.001 			9.58776 	26.02824  153.31114965 0  3.34798301155e-10 -16780.46451114	-14801.29187072  	0.70757489  18.65402785   1.86540278e-17 -1.13897812
0.01 			11.9364 	28.37688  4.62990786 0  3.05340388468e-10 -507.19567056		-446.50595082  		0.67573294   1.54984614e-05   1.54984614e-17 -1.13770411
0.0316227766017 	13.11072	29.5512   0.80458448 0  2.91598183382e-10 -88.1791445		-77.55053894  		0.66035365   1.41266783e-08   1.41266783e-17 -1.1370503
0.1 			14.28504	30.72552  0.13982053 0 2.78474124981e-10 -15.33076322		-13.46883298  		0.64532299   1.28759421e-11   1.28759421e-17 -1.13636688
0.316227766017 		15.45936	31.89984  0.02429799 0 2.65940790222e-10 -2.66557772		-2.33903447  		0.63063482   1.17348900e-14   1.17348900e-17 -1.13558165
1.0 			16.63368	33.07416  0.0042225 0 2.53971114522e-10 -0.46346765 		-0.40619929  		0.61627925   1.06948021e-17   1.06948021e-17 -1.13478439

